,County,Number of polling sites,Total Population,Polling Site Density
97,Terrell,6,7498,0.0008002133902373967
98,Telfair,6,20613,0.00029107844564110026
99,Lamar,6,6000,0.001
100,Murray,6,21755,0.0002757986669731096
101,Dooly,5,27957,0.00017884608505919805
102,Early,5,8610,0.0005807200929152149
103,Calhoun,5,20097,0.0002487933522416281
104,Toombs,5,39973,0.00012508443199159432
105,Twiggs,5,206922,2.41636945322392e-05
106,Berrien,5,112483,4.4451161508850224e-05
107,Baker,5,41799,0.0001196200866049427
108,Seminole,5,14825,0.0003372681281618887
109,Jeff davis,5,168661,2.9645264761859587e-05
110,Coffee,5,27981,0.00017869268432150389
111,Crisp,5,33216,0.00015052986512524084
112,Clinch,5,19716,0.0002536011361330899
113,Marion,5,18889,0.0002647043252686749
114,Macon,5,42853,0.00011667794553473503
115,Jackson,4,9855,0.0004058853373921867
116,Stewart,4,22047,0.00018143058012427994
117,Wilcox,4,2235,0.0017897091722595079
118,Atkinson,4,16883,0.0002369247171711189
119,Johnson,4,6425,0.000622568093385214
120,Glascock,4,206607,1.936042825267295e-05
121,Putnam,4,93570,4.274874425563749e-05
122,Greene,4,4547,0.0008797009016934242
123,Upson,4,14067,0.00028435345134001565
124,Brantley,3,9147,0.00032797638570022957
125,Turner,3,67306,4.457254925266693e-05
126,Irwin,3,26784,0.00011200716845878136
127,Taylor,3,5314,0.0005645464809936018
128,Dawson,3,29616,0.0001012965964343598
129,Jasper,3,5733,0.0005232862375719519
130,Jenkins,3,1559,0.001924310455420141
131,Taliaferro,2,22842,8.755800717975659e-05
132,Wheeler,2,7816,0.00025588536335721597
133,Pierce,2,12477,0.00016029494269455797
134,Oglethorpe,2,9185,0.00021774632553075667
135,Treutlen,2,45798,4.36700292589196e-05
136,Quitman,2,41344,4.837461300309598e-05
137,Mcduffie,2,27030,7.399186089530152e-05
138,Ben hill,1,12493,8.004482510205715e-05
139,Webster,1,6406,0.00015610365282547612
140,Banks,1,69426,1.440382565609426e-05
141,Lumpkin,1,9006,0.00011103708638685321
142,Bacon,1,8022,0.00012465719272001995
143,Warren,1,24632,4.059759662227996e-05
144,Clay,1,27700,3.610108303249098e-05
145,Butts,1,67654,1.478109202707896e-05
146,Bleckley,1,96673,1.0344149866043259e-05
147,Miller,1,36251,2.7585445918733275e-05
148,Towns,1,5215,0.00019175455417066154
149,Echols,1,19988,5.003001801080648e-05
150,Lanier,1,30144,3.3174097664543524e-05
151,Evans,1,2348,0.00042589437819420784
152,Stephens,1,7471,0.0001338508901084192
153,Schley,1,28003,3.571045959361497e-05
154,Chattahoochee,1,102864,9.72157411728107e-06
155,Rabun,1,8766,0.00011407711613050422
156,Pulaski,1,9565,0.00010454783063251438
157,Candler,1,8877,0.00011265067027148812
